,Country,2017 Happiness Score,Population using at least basic sanitation services (%)
0,Norway,7.537000179,98
1,Denmark,7.521999836,100
2,Iceland,7.504000187000001,99
3,Switzerland,7.493999958,100
4,Finland,7.468999863,99
5,Netherlands,7.376999855,98
6,Canada,7.315999985,99
7,New Zealand,7.31400013,100
8,Sweden,7.28399992,99
9,Australia,7.28399992,100
10,Israel,7.212999821,100
11,Costa Rica,7.078999996,98
12,Austria,7.006000042,100
13,United States,6.993000031,
14,Ireland,6.977000237,91
15,Germany,6.951000214,99
16,Belgium,6.890999794,99
17,Luxembourg,6.862999916000001,98
18,United Kingdom,6.714000225,
19,Chile,6.65199995,100
20,United Arab Emirates,6.647999763,99
21,Brazil,6.635000229,88
22,Czech Republic,6.609000206,
23,Argentina,6.598999977,
24,Mexico,6.578000069,91
25,Singapore,6.5720000270000005,100
26,Malta,6.52699995,100
27,Uruguay,6.453999996,97
28,Guatemala,6.453999996,65
29,Panama,6.452000141,83
30,France,6.441999912000001,99
31,Thailand,6.423999786,99
32,Taiwan Province of China,6.421999931,
33,Spain,6.402999877999999,100
34,Qatar,6.375,100
35,Colombia,6.3569998739999996,90
36,Saudi Arabia,6.343999863,100
37,Trinidad and Tobago,6.168000221000001,93
38,Kuwait,6.105000018999999,100
39,Slovakia,6.09800005,98
40,Bahrain,6.086999893,100
41,Malaysia,6.084000111,100
42,Nicaragua,6.071000099,74
43,Ecuador,6.007999897,88
44,El Salvador,6.002999783,87
45,Poland,5.97300005,99
46,Uzbekistan,5.971000195,100
47,Italy,5.964000225,99
48,Russia,5.962999821,
49,Belize,5.9559998510000005,88
50,Japan,5.920000076,100
51,Lithuania,5.90199995,93
52,Algeria,5.872000217,88
53,Latvia,5.849999905,92
54,South Korea,5.837999821,
55,Moldova,5.837999821,
56,Romania,5.8249998089999995,84
57,Bolivia,5.822999954,
58,Turkmenistan,5.8220000270000005,99
59,Kazakhstan,5.818999767,98
60,North Cyprus,5.809999942999999,
61,Slovenia,5.757999897,99
62,Peru,5.715000152999999,74
63,Mauritius,5.629000187000001,96
64,Cyprus,5.620999812999999,99
65,Estonia,5.611000061,99
66,Belarus,5.568999767,98
67,Libya,5.525000095,100
68,Turkey,5.5,97
69,Paraguay,5.493000031,90
70,"Hong Kong S.A.R., China",5.472000122000001,
71,Philippines,5.429999828,77
72,Serbia,5.394999981000001,98
73,Jordan,5.335999966,97
74,Hungary,5.323999882,98
