,,Healthy life expectancy (HALE) at birth (years)
Country,Year,Both sexes
Afghanistan,2016,53
Albania,2016,68.1
Algeria,2016,65.5
Angola,2016,55.8
Antigua and Barbuda,2016,67
Argentina,2016,68.4
Armenia,2016,66.3
Australia,2016,73
Austria,2016,72.4
Azerbaijan,2016,64.9
Bahamas,2016,66.8
Bahrain,2016,68.1
Bangladesh,2016,63.3
Barbados,2016,67
Belarus,2016,65.5
Belgium,2016,71.6
Belize,2016,62.5
Benin,2016,53.5
Bhutan,2016,60.7
Bolivia (Plurinational State of),2016,63
Bosnia and Herzegovina,2016,67.2
Botswana,2016,57.5
Brazil,2016,66
Brunei Darussalam,2016,67.9
Bulgaria,2016,66.4
Burkina Faso,2016,52.9
Burundi,2016,52.6
Cabo Verde,2016,64.5
Cambodia,2016,60.8
Cameroon,2016,51.1
Canada,2016,73.2
Central African Republic,2016,44.9
Chad,2016,47.2
Chile,2016,69.7
China,2016,68.7
Colombia,2016,67.1
Comoros,2016,56.6
Congo,2016,56.7
Costa Rica,2016,70.9
Côte d'Ivoire,2016,48.3
Croatia,2016,69
Cuba,2016,69.9
Cyprus,2016,73.3
Czechia,2016,69.3
Democratic People's Republic of Korea,2016,64.6
Democratic Republic of the Congo,2016,52.5
Denmark,2016,71.8
Djibouti,2016,56.6
Dominican Republic,2016,65.2
Ecuador,2016,67.9
Egypt,2016,61.1
El Salvador,2016,65.5
Equatorial Guinea,2016,53.8
Eritrea,2016,57.4
Estonia,2016,68.2
Eswatini,2016,50.2
Ethiopia,2016,57.5
Fiji,2016,61.3
Finland,2016,71.7
France,2016,73.4
Gabon,2016,58.7
Gambia,2016,54.4
Georgia,2016,64.9
Germany,2016,71.6
Ghana,2016,56.4
Greece,2016,72
Grenada,2016,64.7
Guatemala,2016,64.2
Guinea,2016,52.2
Guinea-Bissau,2016,51.7
Guyana,2016,58.3
Haiti,2016,55.3
Honduras,2016,66.8
Hungary,2016,66.8
Iceland,2016,73
India,2016,59.3
Indonesia,2016,61.7
Iran (Islamic Republic of),2016,65.4
Iraq,2016,59
Ireland,2016,72.1
Israel,2016,72.9
Italy,2016,73.2
Jamaica,2016,66.9
Japan,2016,74.8
Jordan,2016,66.4
Kazakhstan,2016,63.4
Kenya,2016,58.9
Kiribati,2016,57.8
Kuwait,2016,66.3
Kyrgyzstan,2016,63.5
Lao People's Democratic Republic,2016,57.9
Latvia,2016,66.2
Lebanon,2016,66.1
Lesotho,2016,46.6
Liberia,2016,54.5
Libya,2016,62.3
Lithuania,2016,66.1
Luxembourg,2016,72.6
Madagascar,2016,58.3
Malawi,2016,56.2
Malaysia,2016,66.6
Maldives,2016,69.8
Mali,2016,50.7
Malta,2016,72.2
Mauritania,2016,56.4
Mauritius,2016,65.8
Mexico,2016,67.7
Micronesia (Federated States of),2016,61.1
Mongolia,2016,61.9
Montenegro,2016,68.1
Morocco,2016,65.3
Mozambique,2016,52.2
Myanmar,2016,58.4
Namibia,2016,55.9
Nepal,2016,61.3
Netherlands,2016,72.1
New Zealand,2016,72.8
Nicaragua,2016,66.9
Niger,2016,52.5
Nigeria,2016,48.9
Norway,2016,73
Oman,2016,65.6
Pakistan,2016,57.7
Panama,2016,69.4
Papua New Guinea,2016,58
Paraguay,2016,65.3
Peru,2016,67.5
Philippines,2016,61.7
Poland,2016,68.5
Portugal,2016,72
Qatar,2016,68.6
Republic of Korea,2016,73
Republic of Moldova,2016,63.6
Romania,2016,66.6
Russian Federation,2016,63.5
Rwanda,2016,59.9
Saint Lucia,2016,66.4
Saint Vincent and the Grenadines,2016,63.4
Samoa,2016,66
Sao Tome and Principe,2016,60.7
Saudi Arabia,2016,65.7
Senegal,2016,58.8
Serbia,2016,67.4
Seychelles,2016,65.7
Sierra Leone,2016,47.6
Singapore,2016,76.2
Slovakia,2016,68.3
Slovenia,2016,70.5
Solomon Islands,2016,61.9
Somalia,2016,50
South Africa,2016,55.7
South Sudan,2016,50.6
Spain,2016,73.8
Sri Lanka,2016,66.8
Sudan,2016,55.7
Suriname,2016,63.2
Sweden,2016,72.4
Switzerland,2016,73.5
Syrian Arab Republic,2016,55.8
Tajikistan,2016,63.5
Thailand,2016,66.8
Republic of North Macedonia,2016,67.1
Timor-Leste,2016,59.2
Togo,2016,53.9
Tonga,2016,64.3
Trinidad and Tobago,2016,63.3
Tunisia,2016,66.3
Turkey,2016,66
Turkmenistan,2016,61.4
Uganda,2016,54.9
Ukraine,2016,64
United Arab Emirates,2016,66.7
United Kingdom of Great Britain and Northern Ireland,2016,71.9
United Republic of Tanzania,2016,56.5
United States of America,2016,68.5
Uruguay,2016,68.8
Uzbekistan,2016,64.5
Vanuatu,2016,62.7
Venezuela (Bolivarian Republic of),2016,66.1
Viet Nam,2016,67.5
Yemen,2016,55.1
Zambia,2016,54.3
Zimbabwe,2016,54.4
