,2016,2015
,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)"
,18+  years,18+  years
Country,Both sexes,Both sexes
Afghanistan,19.7 [15.8-24.0],19.1 [15.5-23.3]
Albania,58.7 [53.8-63.5],58.0 [53.2-62.5]
Algeria,60.7 [56.0-65.4],59.5 [55.1-64.0]
Andorra,68.1 [63.1-72.7],67.7 [63.0-72.2]
Angola,23.9 [19.0-29.2],23.3 [18.6-28.3]
Antigua and Barbuda,48.4 [42.5-54.5],47.7 [42.0-53.5]
Argentina,63.4 [58.8-67.8],62.8 [58.4-67.0]
Armenia,55.7 [50.6-60.5],54.9 [50.0-59.5]
Australia,67.2 [63.6-70.6],66.6 [63.2-69.9]
Austria,58.1 [53.3-62.5],57.6 [53.1-61.8]
Azerbaijan,53.5 [48.1-58.7],52.5 [47.3-57.5]
Bahamas,65.2 [60.0-70.2],64.5 [59.5-69.4]
Bahrain,64.4 [59.3-69.3],63.6 [58.8-68.3]
Bangladesh,19.0 [15.7-22.7],18.3 [15.2-21.8]
Barbados,55.3 [49.7-61.0],54.5 [49.1-59.9]
Belarus,62.9 [57.8-68.0],62.3 [57.3-67.2]
Belgium,64.1 [60.1-67.9],63.7 [60.0-67.3]
Belize,51.8 [46.3-57.2],50.9 [45.7-56.2]
Benin,26.3 [22.4-30.4],25.7 [22.0-29.6]
Bhutan,25.4 [21.1-30.2],24.5 [20.4-29.0]
Bolivia,53.2 [47.9-58.6],52.6 [47.4-57.7]
Bosnia and Herzegovina,56.4 [51.3-61.2],55.8 [51.0-60.4]
Botswana,38.4 [33.4-43.3],37.9 [33.0-42.5]
Brazil,56.9 [52.6-61.0],56.1 [52.0-60.0]
Brunei Darussalam,42.2 [37.1-47.5],41.2 [36.3-46.3]
Bulgaria,66.3 [61.3-71.0],65.7 [61.0-70.2]
Burkina Faso,20.0 [16.5-23.7],19.4 [16.1-22.8]
Burundi,19.3 [15.6-23.3],18.7 [15.2-22.5]
Cabo Verde,32.1 [27.4-37.1],31.3 [26.8-36.0]
