,2016,2015
,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)","Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)"
,18+  years,18+  years
Country,Both sexes,Both sexes
Afghanistan,16.4 [10.3-23.2],16.7 [10.7-23.5]
Albania,1.3 [0.6-2.6],1.4 [0.6-2.6]
Algeria,3.6 [2.0-5.9],3.8 [2.1-6.1]
Andorra,0.8 [0.3-1.9],0.8 [0.3-1.9]
Angola,13.7 [7.7-21.0],13.9 [7.9-21.1]
Antigua and Barbuda,4.7 [2.2-8.5],4.8 [2.3-8.5]
Argentina,0.9 [0.4-1.5],0.9 [0.5-1.5]
Armenia,2.6 [1.4-4.4],2.7 [1.5-4.4]
Australia,1.1 [0.6-1.7],1.1 [0.7-1.7]
Austria,1.6 [0.8-3.0],1.6 [0.8-2.9]
Azerbaijan,2.3 [1.1-4.2],2.4 [1.2-4.3]
Bahamas,2.4 [1.0-4.6],2.4 [1.1-4.7]
Bahrain,2.9 [1.6-4.8],3.0 [1.6-4.8]
Bangladesh,21.0 [16.4-26.0],21.4 [16.9-26.3]
Barbados,3.1 [1.6-5.0],3.2 [1.7-5.1]
Belarus,1.3 [0.5-2.7],1.3 [0.6-2.7]
Belgium,0.9 [0.5-1.5],0.9 [0.5-1.4]
Belize,3.6 [1.9-6.0],3.7 [2.0-6.1]
Benin,9.9 [6.5-14.2],10.1 [6.7-14.2]
Bhutan,10.8 [6.6-15.8],11.1 [7.0-16.1]
Bolivia,1.7 [0.8-3.1],1.8 [0.9-3.2]
Bosnia and Herzegovina,1.4 [0.7-2.4],1.4 [0.7-2.4]
Botswana,9.7 [6.1-14.2],9.9 [6.3-14.3]
Brazil,2.7 [1.8-3.8],2.8 [1.9-3.9]
Brunei Darussalam,5.8 [3.3-9.0],6.0 [3.5-9.2]
Bulgaria,0.9 [0.3-2.0],0.9 [0.4-2.0]
Burkina Faso,12.0 [8.3-16.5],12.2 [8.6-16.5]
Burundi,12.9 [7.8-18.9],13.1 [8.0-19.1]
Cabo Verde,8.2 [4.6-13.0],8.4 [4.8-13.1]
Cambodia,13.6 [9.0-18.9],13.9 [9.4-19.2]
Cameroon,7.3 [4.7-10.5],7.5 [4.9-10.5]
Canada,1.1 [0.6-1.7],1.1 [0.7-1.7]
Central African Republic,14.9 [9.3-21.4],15.1 [9.6-21.6]
Chad,13.7 [9.2-19.1],13.9 [9.4-19.1]
Chile,0.7 [0.3-1.2],0.7 [0.4-1.2]
China,4.9 [3.6-6.5],5.1 [3.8-6.6]
Colombia,2.3 [1.4-3.5],2.4 [1.5-3.5]
Comoros,10.3 [6.4-15.2],10.5 [6.6-15.3]
Congo (Brazzaville),13.2 [8.4-18.8],13.4 [8.7-18.8]
Cook Islands,0.3 [0.1-0.6],0.3 [0.1-0.6]
Costa Rica,1.8 [1.0-3.0],1.9 [1.1-3.0]
Ivory Coast,8.3 [5.1-12.2],8.4 [5.3-12.4]
Croatia,0.9 [0.4-1.7],1.0 [0.5-1.8]
Cuba,4.1 [2.4-6.4],4.2 [2.5-6.5]
Cyprus,1.1 [0.4-2.2],1.1 [0.4-2.3]
Czech Republic,0.8 [0.3-1.5],0.8 [0.4-1.5]
North Korea,6.4 [2.9-11.9],6.5 [3.0-12.0]
Congo (Kinshasa),16.0 [10.3-22.3],16.2 [10.6-22.3]
Denmark,1.7 [0.9-2.9],1.7 [1.0-2.8]
Djibouti,8.3 [4.3-13.8],8.4 [4.5-13.9]
Dominica,2.9 [1.4-5.2],3.0 [1.5-5.3]
Dominican Republic,3.3 [1.8-5.4],3.4 [2.0-5.5]
Ecuador,1.3 [0.6-2.4],1.3 [0.6-2.4]
Egypt,1.5 [0.9-2.4],1.6 [1.0-2.4]
El Salvador,2.2 [1.1-3.8],2.3 [1.2-3.9]
Equatorial Guinea,13.3 [7.3-20.9],13.5 [7.5-20.9]
Eritrea,17.1 [12.1-22.7],17.3 [12.4-22.7]
Estonia,1.2 [0.7-1.9],1.2 [0.7-1.9]
Eswatini,8.1 [4.8-12.2],8.2 [4.9-12.3]
Ethiopia,16.0 [11.0-21.7],16.2 [11.3-21.8]
Fiji,1.9 [1.0-3.2],2.0 [1.0-3.3]
Finland,0.8 [0.4-1.2],0.8 [0.5-1.2]
France,1.6 [0.8-2.8],1.6 [0.9-2.8]
Gabon,9.3 [5.2-14.7],9.4 [5.3-14.8]
Gambia,10.4 [6.7-14.9],10.6 [6.9-14.9]
Georgia,2.4 [1.2-4.2],2.5 [1.3-4.3]
Germany,0.8 [0.5-1.3],0.8 [0.5-1.3]
Ghana,8.9 [6.2-12.1],9.0 [6.5-12.1]
Greece,0.5 [0.2-1.1],0.6 [0.2-1.1]
Grenada,4.1 [2.1-7.0],4.3 [2.2-7.2]
Guatemala,2.2 [1.2-3.7],2.2 [1.2-3.7]
Guinea,11.1 [7.0-15.9],11.3 [7.2-16.0]
Guinea-Bissau,9.9 [5.7-15.3],10.1 [5.9-15.4]
Guyana,5.0 [2.6-8.5],5.1 [2.7-8.6]
Haiti,4.6 [2.5-7.7],4.8 [2.7-7.9]
Honduras,2.9 [1.5-4.8],3.0 [1.6-4.9]
Hungary,1.4 [0.6-2.8],1.4 [0.6-2.9]
Iceland,1.1 [0.5-1.8],1.1 [0.6-1.8]
India,23.3 [19.7-27.3],23.7 [20.3-27.4]
Indonesia,12.4 [8.9-16.3],12.8 [9.3-16.5]
Iran,3.7 [2.7-5.0],3.9 [2.9-5.0]
