,"Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)"
"Country","2013","2016","2013"
"Afghanistan","4 734 [4 006 - 5 461]","15.1","15.5"
"Albania","478 [435 - 521]","13.6","15.1"
"Algeria","9 337 [7 985 - 10 689]","","23.8"
"Andorra","6","","7.6"
"Angola","5 769 [4 626 - 6 912]","23.6","26.9"
"Antigua and Barbuda","6","7.9","6.7"
"Argentina","5 619","14.0","13.6"
"Armenia","546 [503 - 588]","17.1","18.3"
"Australia","1 252","5.6","5.4"
"Austria","455","5.2","5.4"
"Azerbaijan","943","8.7","10.0"
"Bahamas","52","","13.8"
"Bahrain","107","","8.0"
"Bangladesh","21 316 [17 349 - 25 283]","15.3","13.6"
"Barbados","19","5.6","6.7"
"Belarus","1 282","8.9","13.7"
"Belgium","746","5.8","6.7"
"Belize","81","28.3","24.4"
"Benin","2 855 [2 398 - 3 312]","27.5","27.7"
"Bhutan","114 [98 - 130]","17.4","15.1"
"Bolivia (Plurinational State of)","2 476 [2 190 - 2 763]","15.5","23.2"
"Bosnia and Herzegovina","676 [607 - 745]","15.7","17.7"
"Botswana","477 [412 - 542]","23.8","23.6"
"Brazil","46 935","19.7","23.4"
"Brunei Darussalam","","","8.0"
"Bulgaria","601","10.2","8.3"
"Burkina Faso","5 072 [4 064 - 6 080]","30.5","30.0"
"Burundi","","34.7","31.3"
"Cabo Verde","130 [113 - 147]","25.0","26.1"
"Cambodia","2 635 [2 150 - 3 120]","17.8","17.4"
"Cameroon","6 136 [5 035 - 7 236]","30.1","27.6"
"Canada","2 114","5.8","6.0"
"Central African Republic","1 495 [1 169 - 1 821]","33.6","32.4"
"Chad","3 089 [2 420 - 3 758]","27.6","24.1"
"Chile","2 179","12.5","12.4"
"China","261 367","18.2","18.8"
"Colombia","8 107","18.5","16.8"
"Comoros","","26.5","28.0"
"Congo","1 174 [976 - 1 373]","27.4","26.4"
"Cook Islands","5","17.3","24.2"
"Costa Rica","676","16.7","13.9"
"Côte d'Ivoire","4 924 [4 043 - 5 805]","23.6","24.2"
"Croatia","395","8.1","9.2"
"Cuba","840","8.5","7.5"
"Cyprus","59","5.1","5.2"
"Czechia","654","5.9","6.1"
"Democratic People's Republic of Korea","","","20.8"
"Democratic Republic of the Congo","22 419 [17 966 - 26 872]","33.7","33.2"
"Denmark","196","4.0","3.5"
"Djibouti","216 [185 - 247]","","24.7"
"Dominica","11","10.9","15.3"
